,CustomerId,CreditScore,Geography,Gender,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,AgeGroup,Exited
0,15634602,4,1,1,2,1,1,1,1,6,6,1
1,15647311,4,2,1,1,5,1,0,1,6,6,0
2,15619304,1,1,1,8,10,3,1,0,6,6,1
3,15701354,7,1,1,1,1,2,0,0,5,6,0
4,15737888,10,2,1,2,8,1,1,1,4,6,0
5,15574012,5,2,0,8,7,2,1,0,8,6,1
6,15592531,10,1,0,7,1,2,1,1,1,6,0
7,15656148,1,3,1,4,7,4,1,0,6,5,1
8,15792365,1,1,0,4,9,2,0,1,4,6,0
9,15592389,7,1,0,2,9,1,1,1,4,5,0
10,15767821,2,1,0,6,6,2,0,0,4,5,0
11,15737173,1,2,0,3,1,2,1,0,4,4,0
12,15632264,1,1,1,10,1,2,1,0,2,5,0
13,15691483,2,1,1,5,1,2,0,0,10,5,0
14,15600882,5,2,1,7,1,2,1,1,4,5,0
15,15643966,4,3,0,3,9,2,0,1,4,6,0
16,15737452,6,3,0,1,8,1,1,0,1,6,1
17,15788218,2,2,1,9,1,2,1,1,1,4,0
18,15661507,3,2,0,6,1,1,0,0,8,6,0
19,15568982,8,1,1,6,1,2,1,1,3,4,0
20,15577657,8,1,0,8,1,2,1,1,9,6,0
21,15597945,5,2,1,8,1,2,1,0,7,5,0
22,15699309,1,2,1,4,1,1,1,0,6,6,1
23,15725737,6,1,0,3,1,2,0,1,1,6,0
24,15625047,10,1,1,5,1,1,1,1,10,6,0
25,15738191,3,1,0,3,1,2,0,1,7,5,0
26,15736816,9,3,0,2,9,1,1,1,9,6,0
27,15700772,3,1,0,9,1,2,0,0,2,6,0
28,15728693,3,3,1,3,9,1,1,1,5,6,0
29,15656300,1,1,0,0,4,2,1,1,3,5,0
30,15589475,3,2,1,3,1,3,1,0,8,6,1
31,15706552,2,1,0,7,5,1,0,1,8,6,0
32,15750181,2,3,0,9,6,2,0,0,5,6,0
33,15659428,1,2,1,6,1,2,1,1,2,6,0
34,15732963,8,2,1,9,1,2,1,1,8,5,0
35,15794171,1,1,1,0,9,1,1,0,2,6,1
36,15788448,1,2,0,3,9,1,0,1,6,5,0
37,15729599,10,2,0,7,5,1,0,1,5,5,0
38,15717426,10,1,0,7,1,1,1,1,2,6,0
39,15585768,3,3,0,6,4,2,0,1,9,6,0
40,15619360,1,2,0,4,1,1,1,0,4,6,0
41,15738148,1,1,1,8,8,1,0,0,10,6,1
42,15687946,2,1,1,2,7,1,1,1,5,7,0
43,15755196,10,1,1,2,8,1,0,0,10,6,1
44,15684171,6,2,1,5,10,1,1,1,8,7,0
45,15754849,9,3,1,4,6,2,1,1,7,5,0
46,15602280,10,3,1,9,7,1,1,1,6,5,1
47,15771573,5,3,1,9,9,1,1,1,6,6,1
48,15766205,2,3,0,2,6,1,0,1,5,6,0
49,15771873,9,3,1,2,6,2,1,0,10,6,0
50,15616550,7,3,0,10,7,2,1,0,10,6,0
51,15768193,3,3,0,5,9,2,0,0,5,6,0
52,15683553,10,1,1,5,1,2,0,0,6,5,0
53,15702298,6,3,0,8,8,1,0,0,9,6,1
54,15569590,4,3,0,1,6,1,1,0,2,6,1
55,15760861,4,1,0,1,8,1,1,1,6,6,0
56,15630053,6,1,0,5,8,1,1,0,5,6,0
57,15647091,8,3,0,0,5,1,0,0,3,4,0
58,15623944,1,2,1,4,1,1,1,0,1,7,1
59,15804771,4,1,0,4,4,1,1,1,3,6,0
60,15651280,9,3,0,5,9,1,0,0,5,5,0
61,15773469,7,3,1,9,10,2,0,0,7,5,0
62,15702014,2,2,0,1,4,2,0,0,9,5,0
63,15751208,7,2,0,8,5,1,1,1,5,6,0
64,15592461,4,3,0,4,6,1,1,1,5,5,0
65,15789484,9,3,1,6,10,2,1,1,2,6,0
66,15696061,3,3,1,1,6,1,1,0,6,5,0
67,15641582,8,3,0,10,8,2,1,1,10,6,0
68,15638424,6,3,1,5,10,2,0,1,6,5,0
69,15755648,6,1,1,8,6,1,1,0,1,4,0
70,15703793,9,3,0,2,9,4,1,0,2,6,1
71,15620344,10,1,0,6,1,1,1,0,2,5,0
72,15812518,6,2,1,0,10,1,0,1,3,6,0
73,15779052,4,3,1,5,10,2,1,1,3,5,0
74,15770811,1,1,0,9,1,2,0,1,8,6,0
75,15780961,8,1,1,1,10,2,1,0,2,4,0
76,15614049,6,1,0,8,1,2,1,1,7,6,0
77,15662085,6,1,1,9,1,1,1,1,8,5,0
78,15575185,9,2,0,5,5,1,0,1,10,5,0
79,15803136,1,3,1,10,8,2,1,0,5,6,0
80,15706021,6,1,1,1,5,2,0,0,9,5,0
81,15663706,9,1,1,2,1,1,1,0,7,5,1
82,15641732,2,1,1,3,1,2,0,0,2,6,0
83,15701164,1,1,1,4,5,1,1,1,8,5,0
84,15738751,1,1,1,4,1,2,1,0,1,6,0
85,15805254,5,2,1,10,1,2,1,1,6,7,0
86,15762418,9,2,0,3,7,1,1,0,7,4,1
87,15625759,8,1,0,9,1,2,1,0,8,5,0
88,15622897,5,1,1,4,1,3,1,0,5,6,1
89,15767954,5,3,1,3,5,2,1,1,8,5,0
90,15757535,5,2,1,5,1,3,1,1,9,6,1
91,15731511,10,1,0,7,7,2,1,0,8,6,0
92,15809248,2,1,1,10,1,2,1,0,6,6,0
93,15640635,9,1,0,8,1,2,1,1,9,5,0
94,15676966,8,2,0,4,1,2,0,1,5,6,0
95,15699461,1,2,0,10,10,1,0,1,7,5,0
96,15738721,9,2,0,9,6,1,0,1,4,6,0
97,15693683,10,3,0,8,5,2,1,1,10,5,0
98,15604348,8,2,0,8,1,2,0,0,5,4,0
99,15633059,1,1,0,9,1,2,0,0,1,5,0
100,15808582,6,1,1,6,1,1,1,1,9,6,0
101,15743192,4,1,1,6,1,2,0,0,9,6,0
102,15580146,9,1,0,9,5,1,1,0,3,5,0
103,15776605,2,2,0,7,1,2,1,0,3,6,0
104,15804919,6,2,1,1,1,1,1,1,9,7,1
105,15613854,4,2,1,4,6,2,1,1,2,6,1
106,15599195,3,3,0,1,5,1,1,1,1,5,0
107,15812878,10,3,1,2,6,1,0,1,2,6,0
108,15602312,4,2,0,5,10,1,0,0,4,5,0
109,15744689,1,3,0,9,5,1,1,0,5,5,1
110,15803526,7,3,0,3,5,1,0,1,4,5,0
111,15665790,2,3,0,7,6,2,1,0,2,6,0
112,15715951,2,1,0,2,6,1,0,0,5,6,0
113,15591100,6,2,0,9,6,1,0,1,2,6,0
114,15609618,8,3,0,9,10,2,0,1,6,5,1
115,15675522,5,3,1,9,8,2,1,1,4,5,0
116,15705512,6,3,1,6,10,1,1,0,6,6,0
117,15698028,1,1,1,1,1,2,1,0,2,6,0
118,15661670,2,3,1,8,6,1,1,0,10,5,1
119,15600781,7,3,0,4,10,2,1,0,7,5,0
