date,close,open,high,low,volume,stock
2020-10-16,157000,158000,160000,155000,89705,011070
2020-10-15,159500,163000,163500,156000,127547,011070
2020-10-14,163000,166000,169000,162500,224184,011070
2020-10-13,163000,166500,168500,162000,195485,011070
2020-10-12,162000,167500,168000,161500,117661,011070
2020-10-08,166000,167500,169000,164000,230506,011070
2020-10-07,166000,157000,166500,155000,261275,011070
2020-10-06,157000,158000,158500,156500,107303,011070
2020-10-05,157000,155000,157000,153500,90040,011070
2020-09-29,155000,158000,158500,153500,118006,011070
2020-09-28,155500,154000,157500,153500,106135,011070
2020-09-25,151500,149000,152000,146000,121813,011070
2020-09-24,147500,152000,154000,146500,175012,011070
2020-09-23,154500,156500,157500,152000,155945,011070
2020-09-22,155000,159000,161000,154000,157282,011070
2020-09-21,157500,160000,163000,156000,166897,011070
2020-09-18,161500,161500,164500,160000,287773,011070
2020-09-17,162000,167500,168000,161500,210746,011070
2020-09-16,168500,171000,172000,167500,127730,011070
2020-09-15,169500,171000,171000,166000,174968,011070
2020-09-14,170000,171500,171500,168000,111647,011070
2020-09-11,169500,168500,170000,166000,173693,011070
2020-09-10,169500,169000,172500,165000,481188,011070
2020-09-09,166000,161000,167500,160000,333883,011070
2020-09-08,162000,160000,164500,160000,194051,011070
2020-09-07,158500,160000,161000,156500,116202,011070
2020-09-04,158000,155500,160500,155000,270454,011070
2020-09-03,163000,168500,169000,162000,269915,011070
2020-09-02,169000,158500,169000,158000,818324,011070
2020-09-01,153500,145500,154500,141500,322368,011070
2020-08-31,145000,147500,149000,144500,128873,011070
2020-08-28,147000,147000,149000,146000,101248,011070
2020-08-27,146500,149500,150000,146500,114677,011070
2020-08-26,149500,151000,151000,147500,177660,011070
2020-08-25,152000,156500,157000,149000,267834,011070
2020-08-24,155000,148000,156000,145500,228720,011070
2020-08-21,146500,148000,149000,143500,171356,011070
2020-08-20,145000,153000,153500,143500,325065,011070
2020-08-19,154500,154500,156000,152000,153435,011070
2020-08-18,154500,162500,165000,151000,418830,011070
2020-08-14,163500,166500,168000,161500,169898,011070
2020-08-13,166000,163000,167500,162000,438222,011070
2020-08-12,161500,159000,161500,158000,192240,011070
2020-08-11,160000,161000,162500,157000,195262,011070
2020-08-10,160500,165000,165000,158000,321918,011070
2020-08-07,165000,164500,166500,163000,264314,011070
2020-08-06,163000,163500,164500,161500,182359,011070
2020-08-05,163000,167500,167500,162000,253805,011070
2020-08-04,167000,167000,167000,163000,192571,011070
2020-08-03,165000,161000,165500,161000,210011,011070
2020-07-31,161000,165500,166500,161000,165939,011070
2020-07-30,162000,164000,165000,162000,114044,011070
2020-07-29,162000,162500,164500,160000,149108,011070
2020-07-28,163000,159500,165000,159500,292320,011070
2020-07-27,157000,156000,160000,156000,182513,011070
2020-07-24,156000,158500,160500,155000,287131,011070
2020-07-23,160500,167000,170000,159500,510467,011070
2020-07-22,164500,171500,171500,163000,326333,011070
2020-07-21,171000,162500,172000,161500,440261,011070
2020-07-20,161000,167000,167000,159500,234878,011070
2020-07-17,165000,164000,166000,163500,126754,011070
2020-07-16,163500,168500,171000,161500,246792,011070
2020-07-15,169000,174500,175000,168000,219888,011070
2020-07-14,174000,173000,175000,171500,131599,011070
2020-07-13,173500,179500,179500,172000,214564,011070
2020-07-10,177000,180500,181000,174500,126707,011070
2020-07-09,179500,174500,179500,173000,171069,011070
2020-07-08,173500,175500,179000,173500,185304,011070
2020-07-07,175500,180000,180000,175500,131564,011070
2020-07-06,178500,177000,178500,172500,137135,011070
2020-07-03,176000,172500,177500,172000,109482,011070
2020-07-02,173000,176500,177000,172000,100555,011070
2020-07-01,175000,176500,178500,173500,143766,011070
2020-06-30,174500,174500,179000,173500,333467,011070
2020-06-29,171500,168500,173000,166500,195007,011070
2020-06-26,171500,165500,171500,162500,296752,011070
2020-06-25,162500,165000,166500,162000,152419,011070
2020-06-24,168000,166000,169500,163000,214867,011070
2020-06-23,164000,164500,170000,162500,281113,011070
2020-06-22,161000,163500,165500,161000,192150,011070
2020-06-19,166500,169000,169000,162000,172178,011070
2020-06-18,167000,167500,169500,165500,102190,011070
2020-06-17,169500,172500,174500,164000,245439,011070
2020-06-16,169500,166000,169500,163000,217329,011070
2020-06-15,160000,171000,172500,159000,272176,011070
2020-06-12,173000,159500,173000,158500,335866,011070
2020-06-11,167000,165500,172000,164000,460347,011070
2020-06-10,164500,159500,166000,159000,339108,011070
2020-06-09,157500,160500,161500,155500,145510,011070
2020-06-08,159500,156000,160000,154000,233099,011070
2020-06-05,153500,153000,155500,151000,173240,011070
2020-06-04,153000,153500,156000,151000,186188,011070
2020-06-03,152000,157000,157000,152000,208400,011070
2020-06-02,154000,152000,158000,150500,279540,011070
2020-06-01,153000,147500,154000,146000,319112,011070
2020-05-29,147500,145000,148000,143000,342629,011070
2020-05-28,144000,141000,148500,140500,465668,011070
2020-05-27,140500,141500,143000,139500,199150,011070
2020-05-26,142000,138000,142000,138000,232040,011070
2020-05-25,137500,138500,139000,134500,122512,011070
2020-05-22,137500,141000,141000,136500,187242,011070
2020-05-21,141000,143500,143500,139000,191571,011070
2020-05-20,142000,139500,143500,139000,215537,011070
2020-05-19,139500,142000,142500,138000,227252,011070
2020-05-18,138500,145000,145000,136500,444203,011070
2020-05-15,146000,145500,147500,142000,175754,011070
2020-05-14,143000,145000,149000,143000,369874,011070
2020-05-13,146000,139500,146000,139000,246446,011070
2020-05-12,142000,136500,144000,136000,379410,011070
2020-05-11,136000,139000,139500,136000,201947,011070
2020-05-08,137500,134500,140500,133500,463718,011070
2020-05-07,132500,130500,133500,130000,174195,011070
2020-05-06,131500,133000,133000,129500,226286,011070
2020-05-04,131500,128000,133000,127000,211701,011070
2020-04-29,132000,136500,136500,131500,382840,011070
2020-04-28,136500,136500,138500,134500,309713,011070
2020-04-27,136000,127500,137500,127000,462280,011070
2020-04-24,126000,128500,130500,126000,151619,011070
2020-04-23,128500,130000,131500,128500,192230,011070
2020-04-22,129500,126500,129500,123500,252396,011070
2020-04-21,128000,130000,131000,125500,255235,011070
2020-04-20,130000,129500,132000,128500,275074,011070
2020-04-17,132500,129000,133500,128500,526932,011070
2020-04-16,126000,121000,126000,120500,248233,011070
2020-04-14,123000,120500,123500,120000,253263,011070
2020-04-13,117500,123000,123000,117500,276368,011070
2020-04-10,124000,124000,124000,119000,335378,011070
2020-04-09,125000,129000,130000,123000,343195,011070
2020-04-08,126500,129000,131500,126500,330346,011070
2020-04-07,128500,126000,130000,123000,573155,011070
2020-04-06,122000,112000,122500,111500,575285,011070
2020-04-03,110000,115000,115000,109500,270855,011070
2020-04-02,113000,111000,114500,107000,371857,011070
2020-04-01,108500,114000,117500,108500,421645,011070
2020-03-31,114000,117500,117500,111000,403951,011070
2020-03-30,114000,104500,116000,104000,433381,011070
2020-03-27,108500,114000,116000,103000,656381,011070
2020-03-26,107500,113500,115000,107500,614784,011070
2020-03-25,113500,115000,126000,111000,1082656,011070
2020-03-24,107500,95800,114500,94600,1404434,011070
2020-03-23,91300,92500,97000,86200,656846,011070
2020-03-20,99100,80600,99100,78600,847968,011070
2020-03-19,76300,86100,89400,75700,485245,011070
2020-03-18,83200,94700,95300,83200,579437,011070
2020-03-17,93700,92000,98500,90600,469854,011070
2020-03-16,96500,106500,107000,96500,546732,011070
2020-03-13,105500,105000,109500,100500,783139,011070
2020-03-12,113000,117000,120000,111500,468120,011070
2020-03-11,120500,127000,127000,120000,314863,011070
2020-03-10,127500,123500,128500,122500,489480,011070
2020-03-09,126000,132000,132500,124500,368951,011070
2020-03-06,136000,138000,139000,135000,154251,011070
2020-03-05,140000,140000,142500,138000,313252,011070
2020-03-04,136000,132500,138500,132500,204531,011070
2020-03-03,136000,143500,145000,136000,321236,011070
2020-03-02,137500,130500,140500,129000,358597,011070
2020-02-28,130000,139500,140500,128500,551339,011070
2020-02-27,143500,143500,147500,142000,157807,011070
2020-02-26,145000,142500,148500,140500,168676,011070
2020-02-25,146500,143000,148000,142000,220457,011070
2020-02-24,144000,145000,148000,143500,164505,011070
