,Link,Date,Headline,Content
0,https://www.investing.com/news/stock-market-news/us-stocks-higher-at-close-of-trade-dow-jones-industrial-average-up-027-2050846,2020-01-01,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.27% By Investing.com,"Investing.com – U.S. stocks were higher after the close on Wednesday, as gains in the Basic Materials, Oil & Gas and Utilities sectors led shares higher.
At the close in NYSE, the Dow Jones Industrial Average gained 0.27%, while the S&P 500 index gained 0.29%, and the NASDAQ Composite index added 0.30%.
The best performers of the session on the Dow Jones Industrial Average were International Business Machines , which rose 0.93% or 1.23 points to trade at 134.04 at the close. Meanwhile, Cisco Systems Inc  added 0.78% or 0.37 points to end at 47.96 and Apple Inc  was up 0.73% or 2.13 points to 293.65 in late trade.
The worst performers of the session were Walmart Inc , which fell 0.47% or 0.56 points to trade at 118.84 at the close.  Boeing Co   declined 0.20% or 0.64 points to end at 325.76 and Merck & Company Inc  was down 0.09% or 0.08 points to 90.95.
The top performers on the S&P 500 were  Nektar Therapeutics   which rose 3.92% to 21.59, Mylan NV  which was up 3.45% to settle at 20.10 and DuPont Inc  which gained 3.07% to close at 64.20.
The worst performers were  Northrop Grumman  Corporation  which was down 1.46% to 343.97 in late trade, L3Harris Technologies Inc  which lost 1.10% to settle at 197.87 and Anthem Inc  which was down 1.07% to 302.03 at the close.
The top performers on the NASDAQ Composite were  FuelCell Energy  Inc  which rose 49.40% to 2.510, Viveve Medical Inc  which was up 47.13% to settle at 1.2600 and Inpixon  which gained 43.61% to close at 0.1090.
The worst performers were Onconova Therapeutics Inc  which was down 20.08% to 0.3830 in late trade,  InVivo Therapeutics Holdings  Corp  which lost 19.68% to settle at 0.22 and  Equillium Inc   which was down 19.33% to 3.38 at the close.
Rising stocks outnumbered declining ones on the New York Stock Exchange by 152 to 93 and 3 ended unchanged; on the Nasdaq Stock Exchange, 0 fell and 0 advanced.
Shares in Apple Inc  rose to all time highs; gaining 0.73% or 2.13 to 293.65. 
The CBOE Volatility Index, which measures the implied volatility of S&P 500 options, was unchanged 0.00% to 13.78.
Gold Futures for February delivery was up 0.09% or 1.35 to $1519.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in February fell 0.78% or 0.48 to hit $61.20 a barrel, while the March Brent oil contract fell 0.96% or 0.64 to trade at $66.03 a barrel.
EUR/USD was up 0.04% to 1.1215, while USD/JPY rose 0.02% to 108.72."
1,https://www.investing.com/news/stock-market-news/xiaomi-to-invest-7-billion-in-5g-ai-and-iot-over-next-five-years-2050941,2020-01-02,"Xiaomi to invest $7 billion in 5G, AI and IoT over next five years By Reuters","BEIJING (Reuters) - Chinese smartphone maker Xiaomi Corp will invest more than 50 billion yuan ($7.18 billion) in artificial intelligence and fifth generation internet technologies over the next five years, as competition in the sector grows.
Xiaomi Chief Executive Lei Jun made the announcement in a letter posted on the company s social media account on Thursday, but did not provide specific investment details.
""We need to turn our continuous advantage we have in AIoT and intelligent life into absolute victory in intelligent full scene, and completely cement our king status in the smart era,"" Lei said, using the acronym for artificial intelligence of things, a reference to a combination of AI and internet technologies.
The announced investment increases Xiaomi s pledge made last year to invest 10 billion yuan over five years in an ""All in AIoT"" strategy.
The Beijing-based company started as an affordable cellphone maker but its internet-enabled products now include smart TVs and rice-cookers.
However, Xiaomi also faces intense competition in its home market from rival Huawei Technologies, which captured a record 42% of China s smartphone market in the third quarter at the expense of other local manufacturers and Apple .
Lei announced in October the company planned to launch more than 10 5G phone models in 2020."
2,https://www.investing.com/news/stock-market-news/tech-leads-us-stocks-to-openingday-2020-rally-markets-wrap-2051479,2020-01-02,Tech Leads U.S. Stocks to Opening-Day 2020 Rally: Markets Wrap By Bloomberg,"
(Bloomberg) -- Stocks started the year on the front foot, building on strong gains for many asset classes in 2019 as investors cheered the latest policy move by China’s central bank to support its economy. Treasuries and the dollar strengthened.

The S&P 500 jumped 0.8% to a record on the year’s first trading day, with megacaps Apple Inc , Alphabet  Inc Class C  and   Nike   Inc  notching all-time highs. It was among the best starts for U.S. stocks in the past decade, though first-day performance has virtually no bearing on how the year plays out. Tech shares led gains, with Advanced Micro Devices Inc  surging 7% after an upgrade. Small caps underperformed, with the Russell 2000 sliding 0.1%.
The Stoxx Europe 600 Index advanced as every sector finished in the green. Gauges in Hong Kong and Shanghai jumped more than 1% after the People’s Bank of China said it will increase the supply of cheap funding to banks, in line with market expectations.
“You’ve had a good liquidity-driven momentum-type rally toward year end and that momentum is carrying on in and of itself,” said Kevin Caron, a senior portfolio manager at Washington Crossing Advisors.
The euro fell as data showed the region’s manufacturing downturn deepened in December. The dollar stayed higher as U.S. jobless claims dropped to a four-week low, while the pound weakened following its best quarter in a decade.
After a stellar 2019 across most major assets, focus now shifts to the year ahead. Thursday gave investors the latest read on Chinese manufacturing, with the Caixin PMI dipping slightly from its November level but remaining well in the expansionary zone. On the trade front, U.S. President Donald Trump earlier this week said he expects to sign the first phase of a deal with China on Jan. 15, though Beijing has yet to confirm the date.
“Good start to the year -- China gave the markets a little jolt to start the year with a liquidity injection into their market,” said Chris Gaffney, president of world markets at TIAA. “The message is that central banks are going to continue to help sustain growth or actually try to generate more growth in the markets and interest rates will stay low.”
Investors are also keeping an eye on geopolitical tensions, including in North Korea, where Kim Jong Un said he was no longer bound by his pledge to halt major missile tests and would soon debut a “new strategic weapon.” In Baghdad, an Iran-backed Iraqi militia broke up its encampment outside the U.S. embassy after an attack on the compound threatened to spiral into a broader confrontation.
Elsewhere, crude oil pared an earlier advance, while gold climbed. The Thai baht fell as much as 1.8% overnight, its biggest drop since 2007, amid speculation the Bank of Thailand could be intervening to curb the currency’s strength.
Here are some events to watch for this week:"
3,https://www.investing.com/news/stock-market-news/wall-street-starts-2020-with-records-as-china-stimulus-adds-to-optimistic-mood-2051110,2020-01-02,"Wall Street starts 2020 with new records on China stimulus, trade hopes By Reuters","By April Joyner
NEW YORK (Reuters) - Wall Street s major indexes notched record highs to open the new year on Thursday, as fresh economic stimulus from China added to optimism fueled by easing trade tensions and an improving global outlook.
China s central bank said on Wednesday it would cut the amount of cash that all banks must hold as reserves, the eighth such cut since early 2018. The move to inject fresh stimulus into the Chinese economy boosted equity markets around the globe.
The benchmark S&P 500 hit its 11th record high in 14 sessions and posted its largest daily percentage gain in three weeks. The Dow registered its biggest such gain in almost four weeks, and the Nasdaq its greatest in nearly three months.
Economic stimulus in China, along with the easing of trade tensions between Washington and Beijing, has bolstered optimism that the global economy will accelerate in 2020.
""The market s been up all day because of the news that China is out there with monetary easing,"" said Tim Ghriskey, chief investment strategist at Inverness Counsel in New York. ""With the trade deal as a backdrop, it s a positive factor.""
Among the S&P 500 s sectors, technology (SPLRCT) and industrials (SPLRCI), both of which have high exposure to the Chinese economy, rose more than 1% and led in percentage gains. Shares of Apple Inc , which have been a bellwether of trade sentiment, ended 2.3% higher and surpassed $300.
The lengthy rally on Wall Street has prompted some concerns that U.S. stocks are vulnerable to a pullback, especially if economic growth does not pick up as much as expected or if U.S.-China trade tensions reignite.
""Large-cap equities are priced for perfection,"" said Peter Cecchini, global chief market strategist at Cantor Fitzgerald in New York. ""It feels like we re wildly overbought given the risks that we see.""
The Dow Jones Industrial Average (DJI) rose 330.36 points, or 1.16%, to 28,868.8, the S&P 500 (SPX) gained 27.07 points, or 0.84%, to 3,257.85 and the Nasdaq Composite (IXIC) added 119.59 points, or 1.33%, to 9,092.19.
Adding to positive economic sentiment, data from the U.S. Labor Department showed the number of Americans filing claims for jobless benefits edged lower last week.
Other data from Greater China showing that gross gaming revenue in Macau fell less than expected in December boosted shares of U.S. casino operators. Shares of  Wynn Resorts Ltd  ,  Las Vegas Sands  Corp  and Melco Resorts & Entertainment Ltd  rose between 2% and 4%.
Advancing issues outnumbered declining ones on the NYSE by a 1.74-to-1 ratio; on Nasdaq, a 1.41-to-1 ratio favored advancers.
The S&P 500 posted 59 new 52-week highs and one new low; the Nasdaq Composite recorded 115 new highs and 15 new lows."
4,https://www.investing.com/news/stock-market-news/us-stocks-higher-at-close-of-trade-dow-jones-industrial-average-up-116-2051552,2020-01-02,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 1.16% By Investing.com,"Investing.com – U.S. stocks were higher after the close on Thursday, as gains in the Technology, Industrials and Consumer Services sectors led shares higher.
At the close in NYSE, the Dow Jones Industrial Average rose 1.16% to hit a new all time high, while the S&P 500 index gained 0.84%, and the NASDAQ Composite index climbed 1.33%.
The best performers of the session on the Dow Jones Industrial Average were Walt  Disney  Company , which rose 2.47% or 3.57 points to trade at 148.20 at the close. Meanwhile,  Boeing Co   added 2.32% or 7.56 points to end at 333.32 and Apple Inc  was up 2.28% or 6.70 points to 300.35 in late trade.
The worst performers of the session were Dow Inc , which fell 1.79% or 0.98 points to trade at 53.75 at the close. Procter & Gamble Company  declined 1.19% or 1.49 points to end at 123.41 and Coca-Cola Company  was down 0.65% or 0.36 points to 54.99.
The top performers on the S&P 500 were Advanced Micro Devices Inc  which rose 7.07% to 49.10,  General Electric  Company  which was up 6.90% to settle at 11.93 and  Western Digital  Corporation  which gained 4.21% to close at 65.62.
The worst performers were  Kimco Realty  Corporation  which was down 5.36% to 19.60 in late trade, Iron Mountain Incorporated  which lost 4.58% to settle at 30.41 and Macerich Company  which was down 3.68% to 25.93 at the close.
The top performers on the NASDAQ Composite were Inpixon  which rose 201.83% to 0.3290,  Synthesis Energy  Systems Inc  which was up 100.00% to settle at 11.4000 and Pulmatrix Inc  which gained 88.37% to close at 1.620.
The worst performers were Durect Corporation  which was down 31.18% to 2.615 in late trade,  Neovasc  Inc  which lost 28.28% to settle at 3.880 and Kaixin Auto Holdings  which was down 27.81% to 1.35 at the close.
Rising stocks outnumbered declining ones on the New York Stock Exchange by 1687 to 1159 and 77 ended unchanged; on the Nasdaq Stock Exchange, 1470 rose and 1185 declined, while 72 ended unchanged.
Shares in Advanced Micro Devices Inc  rose to all time highs; rising 7.07% or 3.24 to 49.10. Shares in General Electric Company  rose to 52-week highs; rising 6.90% or 0.77 to 11.93. Shares in Western Digital Corporation  rose to 52-week highs; gaining 4.21% or 2.65 to 65.62. Shares in Apple Inc  rose to all time highs; rising 2.28% or 6.70 to 300.35. 
The CBOE Volatility Index, which measures the implied volatility of S&P 500 options, was down 9.51% to 12.47.
Gold Futures for February delivery was up 0.56% or 8.55 to $1531.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in February rose 0.18% or 0.11 to hit $61.17 a barrel, while the March Brent oil contract rose 0.11% or 0.07 to trade at $66.33 a barrel.
EUR/USD was up 0.02% to 1.1173, while USD/JPY fell 0.02% to 108.55."
5,https://www.investing.com/news/stock-market-news/asia-stock-futures-gain-as-sp-500-hits-new-high-markets-wrap-2051563,2020-01-02,Asia Stock Futures Gain as S&P 500 Hits New High: Markets Wrap By Bloomberg,"(Bloomberg) -- Stocks in Asia were primed for gains on Friday after a strong start to the year lifted U.S. equities to fresh all-time highs. Treasuries and the dollar rose.
Futures indicated gains for equities in Hong Kong and Australia. The S&P 500 earlier rose 0.8% with megacaps Apple , Alphabet  and  Nike   all notching new record highs. Gains had begun in Asia Thursday when traders returned from holidays to news of policy support from China’s central bank to lift its economy. The pound slid amid concern the U.K. won’t be able to negotiate a free-trade agreement with the European Union by the deadline at the end of this year.
Investors on Friday will get the latest read on the health of the world’s biggest economy, with U.S. ISM manufacturing data due following jobs data showing the labor market remains robust. U.S. President Donald Trump earlier this week said he expects to sign the first phase of a trade deal with China on Jan. 15, though Beijing has yet to confirm the date.“We will likely see continued gains given that we’ve had a lot of the tensions and challenges that were facing us in 2019 lift,” Seema Shah, chief strategist at Principal Global Investors, told Bloomberg TV. “You have that central bank liquidity. Investors have no reason to be in cash - you should be fully invested and that continues to push up risk assets.”
Elsewhere, crude oil pared an earlier advance, while gold climbed. The euro slipped as data showed the region’s manufacturing downturn deepened in December.
Here are some events to watch for this week:

Stocks


"
6,https://www.investing.com/news/stock-market-news/asian-markets-mixed-after-wall-street-reaches-alltime-highs-2051627,2020-01-03,Asian Markets Mixed After Wall Street Reaches All-Time Highs By Investing.com,"Investing.com - Stocks in Asia were mixed on Friday in Asia after U.S. equities rose to fresh all-time highs overnight. 
China’s Shanghai Composite was little changed at 10:30 PM ET (02:30 GMT), while the SZSE Component was down 0.3%.
Hong Kong’s Hang Seng Index dropped 0.1%.
Chinese stocks rose yesterday amid news of policy support from China’s central bank to lift its economy. Reports that U.S. President Donald Trump said earlier this week the first phase of Sino-U.S. trade deal will be signed this month also provided continuous support to the markets this week.
“We’ve seen some green shoots on the macro side, and most importantly, central banks have really turned supportive for the markets,” Adrian Zuercher, head of Asia asset allocation at UBS Private Banking in Hong Kong, told Bloomberg in an interview. “You want to look for risky assets and equities are probably the cheapest place to play that, and therefore we’re risk-on.”
South Korea’s KOSPI gained 2.1% as chipmaker SK Hynix jumped 2%. Shares of Apple  suppliers saw gains today after the iPhone maker surged 2.3% to a record $300.26 a share.
Japan’s Nikkei 225 remained closed for holidays.   Nissan Motor Co., Ltd.   (T:7201) made headlines after news that former boss Carlos Ghosn was smuggled out of Tokyo by a private security company days ago.
Ghosn has said he would talk to reporters next week.
Japan does not have an extradition treaty with Lebanon, which has said there was no reason to take action against Ghosn when he entered the country.
Down under, Australia’s ASX climbed 0.7%."
7,https://www.investing.com/news/forex-news/eu-trade-chief-plans-january-us-trip-in-bid-to-ease-tensions-2051846,2020-01-03,EU Trade Chief Plans January U.S. Trip in Bid to Ease Tensions By Bloomberg,"(Bloomberg) -- The European Union’s new trade chief plans to visit Washington on Jan. 14-16 a bid to repair transatlantic relations frayed by U.S. measures against imports from the bloc and its attacks on the global commercial order.
Phil Hogan will meet U.S. Trade Representative Robert Lighthizer to discuss disputes including an American threat to hit $2.4 billion of French goods with tariffs in retaliation over a digital-services tax in France.
The U.S. alleged on Dec. 2 -- the day after Hogan became EU trade commissioner -- that France’s tax discriminates against U.S. technology companies such as Google , Apple Inc . and Amazon.com Inc .
Such levies would mark the first time President Donald Trump’s administration deploys against Europe a policy tool -- Section 301 of a 1974 American law -- reserved so far for the U.S. trade war against China. The prospect has alarmed the EU, which is already scrambling to expand its policy arsenal in response to a separate U.S. threat to the rules-based international system.
“The only acceptable route to address trade disputes is through the World Trade Organization adjudication process,” Hogan told the European Parliament in Strasbourg, France on Dec. 19. “The European Union will act -- and react -- as one against any unilateral measures outside the multilateral trading system.”
Ties between the EU and U.S., the world’s biggest economic partners, have deteriorated on numerous fronts since Trump took office in January 2017 with an “America First” agenda that has shaken the global order put in place with American support after the Second World War.
Hogan’s visit would overlap with another important date on the U.S. administration’s calendar. Trump has said he plans to sign phase one of a trade deal with China on Jan. 15 in the U.S. capital.
While the transatlantic tensions extend to decisions by Trump to abandon major international agreements to fight climate change, control nuclear arms in Europe and curb Iran’s atomic-energy program, the EU’s sore points with the U.S. over trade go well beyond possible American retaliatory tariffs tied to France’s digital tax. These disagreements include:"
8,https://www.investing.com/news/technology-news/germanys-bosch-to-offer-lowercost-sensors-for-selfdriving-cars-2050950,2020-01-04,Germany's Bosch to offer lower-cost sensors for self-driving cars By Reuters,"By Ben Klayman
(Reuters) - German automotive supplier Robert Bosch said Thursday it has developed a sensor that lets cars ""see"" a three-dimensional view of the road, aiming to lower the cost of technology that could speed the development of self-driving vehicles.
Privately-held Bosch said the internally-developed lidar sensor, which it will show at the Consumer Electronics Show in Las Vegas next week, will cover both long and close ranges on highways and in the city and will work in conjunction with the company s camera and radar technologies.
Lidar technology, which uses light-based sensors to generate a three-dimensional view of the road, remains a relatively young technology that is still in flux. In its current form, it is too expensive for mass market use, but if a cheaper lidar sensor were widely adopted, it could provide more depth data that would allow self-driving cars to detect the distance to other road users like pedestrians.
While numerous start-ups are working on lidar, the involvement of large and trusted suppliers like Bosch could help speed adoption of the technology.
""Bosch is making automated driving a viable possibility in the first place,"" Bosch management board member Harald Kroeger said in a statement.
Initially using bulky spinning devices placed on the roof of cars, lidar developers have transitioned to more compact solid-state devices that can be mounted on other parts of a car, such as near the headlights. These now sell for less than $10,000 in limited quantities, but analysts say they must sell for as little as $200 in mass production to become commercially viable.
Bosch did not provide a timeline, pricing or technology details for its lidar, but a spokesman said the company is working on making the sensors ""production ready"" and the focus will be on ""affordable mass market"" technology.
The spokesman declined to say whether Bosch already had auto customers for the sensor.
The development of self-driving cars has hit a speed bump as costs and regulatory concerns cause automakers and tech companies to rethink their plans.
Lidar is currently used by companies including General Motors Co ,  Ford Motor Co   and Alphabet Inc s  Waymo. Apple Inc  also is evaluating the technology.
Others are less enthusiastic about adopting lidar, citing a high cost and limited capabilities - including Elon Musk s Tesla Inc  and Nissan Motor Co Ltd (T:7201).
Last April, Musk called lidar ""a fool s errand"" that was too costly and said anyone relying on the technology was ""doomed."" Tesla vehicles rely on cameras and radars as their vision system for self-driving.
Hundreds of millions of dollars have been invested in lidar start-ups over the last few years.
Other major suppliers developing the technology include  Valeo  , Aptiv , and Continental . Last July, Valeo said it had won 500 million euros ($560 million)worth of orders for its lidar sensor products.

($1 = 0.8927 euros)"
9,https://www.investing.com/news/technology-news/trump-administration-officials-to-talk-tech-policy-at-las-vegas-confab-2052203,2020-01-04,Trump administration officials to talk tech policy at Las Vegas confab By Reuters,"By David Shepardson
WASHINGTON (Reuters) - The Trump administration will send a big contingent of senior officials to an annual technology gathering in Las Vegas next week as the tech industry faces increased scrutiny in Washington.
Transportation Secretary Elaine Chao, Commerce Secretary Wilbur Ross, Energy Secretary Dan Brouillette, White House adviser Ivanka Trump, U.S. Chief Technology Officer Michael Kratsios will be among more than 150 other government officials from the United States and around the world will attend CES, the annual tech industry event. In prior years, the event has drawn fewer senior U.S. officials -- typically just one cabinet official -- and did not draw any in 2019 because of a government shutdown.
The event, which runs from Jan. 7-10, draws more 175,000 visitors and 4,500 companies exhibiting new technologies, including airlines, automakers, battery manufacturers and hundreds of tech start-ups. 
The White House has touted technology improvements as a way to boost U.S. employment and is working to ease regulatory barriers to advanced technologies like drones and self-driving cars. At the same time, the Justice Department and Federal Trade Commission are probing whether big tech firms like  Facebook Inc  , Alphabet  Inc, Amazon.com  and Apple Inc  are violating antitrust laws.
The largest tech firms generally skip CES in favor of holding their own events.
Federal Communications Commission Chairman Ajit Pai and Federal Trade Commission Chairman Joseph Simons will speak at a fireside chat, and three of the other four FCC commissioners will attend as will two other FTC commissioners.
Pai has proposed shifting part of a block spectrum set aside for auto safety to accommodate the rapidly growing number of wireless devices. Numerous companies are displaying new wireless devices at CES. Chao is expected to talk about self-driving car policies.
Elena Hernandez, spokeswoman for the White House Office of Science and Technology Policy, said Friday that Kratsios will be at CES to discuss the administration s national strategy for artificial intelligence launched in 2018.
""Recognizing the significance of technology on the American workforce, our national security, and the U.S. economy, the Trump administration continues to make leadership in the cutting-edge industries of the future a top priority,"" Hernandez said.
President Donald Trump, who has had strained relations with technology companies and criticized several major firms for alleged bias against conservatives, has met repeatedly with major tech company CEOs since taking office, including meetings in 2019 with the chief executives of Facebook, Apple and Google. 
"
