date,ticker,link,headline,neg,neu,pos,compound
2020-01-01,TSLA,https://www.investing.com/news/stock-market-news/tesla-must-face-lawsuit-claiming-racism-at-california-factory-2050555,Tesla must face lawsuit claiming racism at California factory By Reuters,0.122,0.856,0.021,-0.991
2020-01-01,TSLA,https://www.investing.com/news/stock-market-news/us-auto-safety-agency-to-probe-fatal-tesla-crash-in-los-angeles-2050658,U.S. auto safety agency to investigate fatal Tesla crash in California By Reuters,0.101,0.8270000000000001,0.071,-0.9109
2020-01-02,TSLA,https://www.investing.com/news/stock-market-news/tesla-says-will-deliver-second-batch-of-chinamade-model-3s-on-january-7-2050931,Tesla says will start delivering China-made Model 3s to public on Jan. 7 By Reuters,0.011,0.944,0.045,0.8481
2020-01-02,TSLA,https://www.investing.com/news/stock-market-news/stocks-tesla-pge-airbus-all-rise-in-premarket-2051158,"Stocks: Tesla, PG&E, Airbus All Rise in Premarket By Investing.com",0.0,1.0,0.0,0.0
2020-01-02,TSLA,https://www.investing.com/news/stock-market-news/correct-tesla-gains-as-canaccord-lifts-target-on-ev-growth-2051166,Tesla Gains as Canaccord Lifts Target on EV Growth By Bloomberg,0.041,0.866,0.093,0.8779
2020-01-03,TSLA,https://www.investing.com/news/stock-market-news/tesla-cuts-starting-price-for-chinamade-model-3-vehicles-2051633,Tesla cuts price for China-made Model 3 vehicles before delivery By Reuters,0.008,0.965,0.027000000000000003,0.5584
2020-01-03,TSLA,https://www.investing.com/news/stock-market-news/after-teslas-record-year-in-norway-rivals-gear-up-for-2020-2051710,"After Tesla's record year in Norway, rivals gear up for 2020 By Reuters",0.004,0.924,0.07200000000000001,0.9917
2020-01-03,TSLA,https://www.investing.com/news/stock-market-news/stocks---tesla-bat-newmont-rise-in-premarket-incyte-falls-2051890,"Stocks -  Tesla, BAT, Newmont Rise in Premarket; Incyte Falls By Investing.com",0.0,1.0,0.0,0.0
2020-01-03,TSLA,https://www.investing.com/news/stock-market-news/tesla-meets-low-end-of-2019-goal-for-vehicle-deliveries-2051868,"Musk defies skeptics, meets Tesla delivery goal; shares hit record By Reuters",0.034,0.91,0.056,0.9231
2020-01-03,TSLA,https://www.investing.com/news/stock-market-news/tesla-rally-leaves-short-sellers-down-3-billion-since-2018-2052132,Tesla rally leaves short sellers down $3 billion since 2018 By Reuters,0.062,0.8959999999999999,0.042,-0.4215
2020-01-03,TSLA,https://www.investing.com/news/stock-market-news/wall-street-tumbles-as-us-air-strike-heightens-middle-east-tensions-2051758,S&P 500 snaps win streak as Middle East tensions push down Wall Street By Reuters,0.079,0.838,0.084,-0.0772
2020-01-04,TSLA,https://www.investing.com/news/stock-market-news/fiat-chrysler-us-auto-sales-fall-2-in-fourth-quarter-2051945,Discounts fuel U.S. pick-up truck sales in a slowing market By Reuters,0.084,0.8540000000000001,0.063,-0.9477
