,date,total_cases,total_deaths,ca_cases,ca_deaths
0,2020-01-21,1,0,0,0
1,2020-01-22,1,0,0,0
2,2020-01-23,1,0,0,0
3,2020-01-24,2,0,0,0
4,2020-01-25,3,0,0,0
5,2020-01-26,5,0,0,0
6,2020-01-27,5,0,0,0
7,2020-01-28,5,0,0,0
8,2020-01-29,5,0,0,0
9,2020-01-30,6,0,0,0
10,2020-01-31,7,0,0,0
11,2020-02-01,8,0,0,0
12,2020-02-02,11,0,0,0
13,2020-02-03,11,0,0,0
14,2020-02-04,11,0,0,0
15,2020-02-05,12,0,0,0
16,2020-02-06,12,0,0,0
17,2020-02-07,12,0,0,0
18,2020-02-08,12,0,0,0
19,2020-02-09,12,0,0,0
20,2020-02-10,13,0,0,0
21,2020-02-11,13,0,0,0
22,2020-02-12,14,0,0,0
23,2020-02-13,15,0,0,0
24,2020-02-14,15,0,0,0
25,2020-02-15,15,0,0,0
26,2020-02-16,15,0,0,0
27,2020-02-17,25,0,0,0
28,2020-02-18,25,0,0,0
29,2020-02-19,25,0,0,0
30,2020-02-20,27,0,0,0
31,2020-02-21,30,0,0,0
32,2020-02-22,30,0,0,0
33,2020-02-23,30,0,0,0
34,2020-02-24,43,0,0,0
35,2020-02-25,45,0,0,0
36,2020-02-26,60,0,0,0
37,2020-02-27,60,0,0,0
38,2020-02-28,65,0,0,0
39,2020-02-29,70,1,0,0
40,2020-03-01,88,3,0,0
41,2020-03-02,104,6,0,0
42,2020-03-03,125,10,0,0
43,2020-03-04,161,12,0,0
44,2020-03-05,228,12,0,0
45,2020-03-06,311,15,0,0
46,2020-03-07,428,19,0,0
47,2020-03-08,547,22,0,0
48,2020-03-09,748,26,0,0
49,2020-03-10,1018,31,0,0
50,2020-03-11,1263,37,0,0
51,2020-03-12,1668,43,0,0
52,2020-03-13,2224,50,0,0
53,2020-03-14,2898,60,0,0
54,2020-03-15,3600,68,0,0
55,2020-03-16,4507,91,0,0
56,2020-03-17,5906,117,0,0
57,2020-03-18,8350,162,675,15
58,2020-03-19,12393,212,1006,18
59,2020-03-20,18012,277,1224,22
60,2020-03-21,24528,360,1468,26
61,2020-03-22,33073,458,1733,35
62,2020-03-23,43505,579,1955,37
63,2020-03-24,53938,785,2535,52
64,2020-03-25,68572,1054,3006,64
65,2020-03-26,85570,1353,3801,77
66,2020-03-27,102900,1770,4643,101
67,2020-03-28,123966,2300,5283,118
68,2020-03-29,142486,2718,5763,135
69,2020-03-30,163955,3368,6932,150
70,2020-03-31,188461,4304,8155,171
71,2020-04-01,215391,5325,9191,203
72,2020-04-02,245108,6541,10701,237
73,2020-04-03,277426,7932,12026,276
74,2020-04-04,312525,9488,13438,319
75,2020-04-05,338141,10856,14336,343
76,2020-04-06,369057,12382,15865,374
77,2020-04-07,399394,14616,16957,442
78,2020-04-08,431214,16701,18309,492
79,2020-04-09,465913,18821,19472,541
80,2020-04-10,499386,21084,20615,609
81,2020-04-11,531106,23168,21794,651
82,2020-04-12,558249,24849,22348,687
