date,close,open,high,low,volume,ticker
2020-10-16,640000,633000,643000,628000,309530,051910
2020-10-15,637000,636000,648000,629000,531454,051910
2020-10-14,628000,642000,644000,620000,725349,051910
2020-10-13,644000,675000,678000,640000,678451,051910
2020-10-12,672000,680000,692000,670000,551057,051910
2020-10-08,692000,684000,698000,682000,564700,051910
2020-10-07,680000,673000,680000,667000,294545,051910
2020-10-06,674000,659000,680000,654000,451956,051910
2020-10-05,659000,670000,670000,648000,443499,051910
2020-09-29,654000,659000,660000,636000,677451,051910
2020-09-28,626000,636000,639000,616000,367111,051910
2020-09-25,627000,621000,630000,604000,493489,051910
2020-09-24,611000,619000,643000,610000,872924,051910
2020-09-23,630000,660000,662000,604000,1271568,051910
2020-09-22,639000,646000,659000,633000,1209481,051910
2020-09-21,627000,656000,657000,626000,1239438,051910
2020-09-18,666000,653000,677000,650000,1775061,051910
2020-09-17,645000,671000,687000,625000,3408145,051910
2020-09-16,687000,730000,732000,685000,958233,051910
2020-09-15,726000,722000,728000,710000,435166,051910
2020-09-14,712000,707000,715000,696000,327850,051910
2020-09-11,705000,707000,709000,695000,361882,051910
2020-09-10,713000,716000,716000,699000,541097,051910
2020-09-09,699000,682000,704000,682000,575376,051910
2020-09-08,709000,720000,727000,697000,811834,051910
2020-09-07,720000,743000,743000,718000,635302,051910
2020-09-04,743000,734000,751000,734000,773517,051910
2020-09-03,768000,756000,774000,756000,690256,051910
2020-09-02,742000,743000,747000,728000,462821,051910
2020-09-01,743000,741000,753000,723000,645681,051910
2020-08-31,740000,763000,775000,731000,835300,051910
2020-08-28,759000,767000,776000,751000,496857,051910
2020-08-27,762000,774000,785000,759000,1060767,051910
2020-08-26,757000,718000,768000,716000,1094918,051910
2020-08-25,713000,712000,714000,703000,450237,051910
2020-08-24,702000,695000,708000,687000,574924,051910
2020-08-21,699000,676000,709000,676000,1078744,051910
2020-08-20,667000,681000,697000,662000,841507,051910
2020-08-19,683000,708000,710000,677000,746732,051910
2020-08-18,690000,689000,722000,673000,1051815,051910
2020-08-14,700000,716000,724000,695000,1160403,051910
2020-08-13,737000,758000,776000,722000,970866,051910
2020-08-12,741000,746000,764000,740000,673527,051910
2020-08-11,758000,715000,771000,708000,1087515,051910
2020-08-10,720000,747000,748000,716000,1035305,051910
2020-08-07,746000,680000,758000,680000,1399982,051910
2020-08-06,680000,672000,688000,659000,634951,051910
2020-08-05,670000,640000,681000,637000,917661,051910
2020-08-04,642000,652000,665000,635000,894736,051910
2020-08-03,635000,578000,650000,577000,1715295,051910
2020-07-31,568000,541000,580000,532000,1376453,051910
2020-07-30,530000,530000,533000,523000,244581,051910
2020-07-29,527000,527000,538000,523000,315710,051910
2020-07-28,528000,526000,532000,521000,372041,051910
2020-07-27,517000,509000,520000,509000,257568,051910
2020-07-24,516000,521000,526000,513000,406633,051910
2020-07-23,532000,535000,535000,522000,270382,051910
2020-07-22,527000,524000,529000,516000,332150,051910
2020-07-21,531000,525000,537000,522000,489307,051910
2020-07-20,511000,518000,519000,506000,318383,051910
2020-07-17,516000,516000,522000,505000,540426,051910
2020-07-16,523000,547000,547000,520000,504937,051910
2020-07-15,544000,539000,546000,536000,341645,051910
2020-07-14,534000,535000,545000,531000,441154,051910
2020-07-13,547000,540000,548000,531000,368579,051910
2020-07-10,529000,544000,548000,527000,470969,051910
2020-07-09,539000,515000,549000,512000,819218,051910
2020-07-08,513000,518000,521000,509000,358194,051910
2020-07-07,516000,525000,531000,515000,630054,051910
2020-07-06,509000,507000,511000,498500,317805,051910
2020-07-03,507000,509000,515000,502000,443404,051910
2020-07-02,496000,495000,496500,487500,362498,051910
2020-07-01,491500,499000,503000,491000,357203,051910
2020-06-30,490500,501000,502000,487500,443059,051910
2020-06-29,489500,492000,501000,486000,454763,051910
2020-06-26,501000,508000,509000,488500,473636,051910
2020-06-25,499000,506000,513000,499000,551096,051910
2020-06-24,516000,514000,520000,510000,391402,051910
2020-06-23,504000,512000,518000,500000,516968,051910
2020-06-22,506000,510000,519000,502000,509229,051910
2020-06-19,512000,499500,512000,488000,738862,051910
2020-06-18,491000,491500,494500,481500,509457,051910
2020-06-17,491500,484000,512000,481500,1390544,051910
2020-06-16,487500,445000,487500,444000,1156149,051910
2020-06-15,428000,455000,460500,428000,851192,051910
2020-06-12,462000,436500,466000,436000,1007453,051910
2020-06-11,463000,447000,469500,446000,1250374,051910
2020-06-10,440000,432500,442000,429500,535589,051910
2020-06-09,432500,439000,441500,425500,609988,051910
2020-06-08,434000,440000,446000,432000,684281,051910
2020-06-05,434000,421500,434000,421000,865564,051910
2020-06-04,417500,400500,420000,399500,966577,051910
2020-06-03,400500,399000,401500,395000,474692,051910
2020-06-02,395000,400000,402000,393000,390982,051910
2020-06-01,396000,391000,401000,389500,401656,051910
2020-05-29,390500,381500,391000,381500,526505,051910
2020-05-28,388500,403000,404000,380000,842769,051910
2020-05-27,395500,406000,412000,394500,622426,051910
2020-05-26,414000,398500,416000,398000,958956,051910
2020-05-25,389500,380000,389500,375000,505854,051910
2020-05-22,377000,382000,385000,373500,504011,051910
2020-05-21,377500,367000,385000,365000,1033430,051910
2020-05-20,362500,352500,362500,351500,358098,051910
2020-05-19,357000,363500,364000,356500,395494,051910
2020-05-18,354000,349500,356000,346000,408948,051910
2020-05-15,346500,348500,349500,343000,364374,051910
2020-05-14,344500,348000,351000,341000,399418,051910
2020-05-13,352000,330000,352500,330000,861294,051910
2020-05-12,338000,346000,346000,336500,554982,051910
2020-05-11,346500,351500,354000,345000,629395,051910
2020-05-08,352500,349000,356500,346500,678484,051910
2020-05-07,354000,358000,361000,352500,431374,051910
2020-05-06,361000,366500,366500,356500,344167,051910
2020-05-04,360000,361000,366000,358000,669179,051910
2020-04-29,376500,368000,376500,365000,566265,051910
2020-04-28,362500,365000,371500,354000,582497,051910
2020-04-27,353500,353500,357000,348000,445576,051910
2020-04-24,353500,358000,358500,350000,270535,051910
2020-04-23,361000,360000,361500,356500,343123,051910
2020-04-22,355000,346500,357000,345500,362008,051910
2020-04-21,354000,348000,359500,343500,710608,051910
2020-04-20,351500,362500,369500,351000,504864,051910
2020-04-17,362500,352500,376000,352000,753764,051910
2020-04-16,343000,327500,345000,327000,621763,051910
2020-04-14,326500,327500,329000,321000,436161,051910
2020-04-13,315000,325500,325500,314000,298575,051910
