,date,close,open,high,low,volume,ticker
0,2020.11.05,156000,156000,159000,156000,73174,011070
1,2020.11.04,155500,154000,157500,152000,170064,011070
2,2020.11.03,152000,152000,153000,150500,98272,011070
3,2020.11.02,151000,152000,152000,148500,97298,011070
4,2020.10.30,152000,157000,157000,152000,144349,011070
5,2020.10.29,158000,158000,159500,155000,120338,011070
6,2020.10.28,162000,155000,162500,154000,159522,011070
7,2020.10.27,155000,152500,157500,150000,113868,011070
8,2020.10.26,152500,157000,158500,152000,119920,011070
9,2020.10.23,157500,160000,161000,156000,88190,011070
10,2020.10.22,157500,163000,163000,157000,144489,011070
11,2020.10.21,164000,165000,167000,162500,127746,011070
12,2020.10.20,164500,162500,164500,160000,107310,011070
13,2020.10.19,164000,158000,165000,157000,195739,011070
14,2020.10.16,157000,158000,160000,155000,90591,011070
15,2020.10.15,159500,163000,163500,156000,127547,011070
16,2020.10.14,163000,166000,169000,162500,224184,011070
17,2020.10.13,163000,166500,168500,162000,195485,011070
18,2020.10.12,162000,167500,168000,161500,117661,011070
19,2020.10.08,166000,167500,169000,164000,230506,011070
20,2020.10.07,166000,157000,166500,155000,261275,011070
21,2020.10.06,157000,158000,158500,156500,107303,011070
22,2020.10.05,157000,155000,157000,153500,90040,011070
23,2020.09.29,155000,158000,158500,153500,118006,011070
24,2020.09.28,155500,154000,157500,153500,106135,011070
25,2020.09.25,151500,149000,152000,146000,121813,011070
26,2020.09.24,147500,152000,154000,146500,175012,011070
27,2020.09.23,154500,156500,157500,152000,155945,011070
28,2020.09.22,155000,159000,161000,154000,157282,011070
29,2020.09.21,157500,160000,163000,156000,166897,011070
30,2020.09.18,161500,161500,164500,160000,287773,011070
31,2020.09.17,162000,167500,168000,161500,210746,011070
32,2020.09.16,168500,171000,172000,167500,127730,011070
33,2020.09.15,169500,171000,171000,166000,174968,011070
34,2020.09.14,170000,171500,171500,168000,111647,011070
35,2020.09.11,169500,168500,170000,166000,173693,011070
36,2020.09.10,169500,169000,172500,165000,481188,011070
37,2020.09.09,166000,161000,167500,160000,333883,011070
38,2020.09.08,162000,160000,164500,160000,194051,011070
39,2020.09.07,158500,160000,161000,156500,116202,011070
40,2020.09.04,158000,155500,160500,155000,270454,011070
41,2020.09.03,163000,168500,169000,162000,269915,011070
42,2020.09.02,169000,158500,169000,158000,818324,011070
43,2020.09.01,153500,145500,154500,141500,322368,011070
44,2020.08.31,145000,147500,149000,144500,128873,011070
45,2020.08.28,147000,147000,149000,146000,101248,011070
46,2020.08.27,146500,149500,150000,146500,114677,011070
47,2020.08.26,149500,151000,151000,147500,177660,011070
48,2020.08.25,152000,156500,157000,149000,267834,011070
49,2020.08.24,155000,148000,156000,145500,228720,011070
50,2020.08.21,146500,148000,149000,143500,171356,011070
51,2020.08.20,145000,153000,153500,143500,325065,011070
52,2020.08.19,154500,154500,156000,152000,153435,011070
53,2020.08.18,154500,162500,165000,151000,418830,011070
54,2020.08.14,163500,166500,168000,161500,169898,011070
55,2020.08.13,166000,163000,167500,162000,438222,011070
56,2020.08.12,161500,159000,161500,158000,192240,011070
57,2020.08.11,160000,161000,162500,157000,195262,011070
58,2020.08.10,160500,165000,165000,158000,321918,011070
59,2020.08.07,165000,164500,166500,163000,264314,011070
60,2020.08.06,163000,163500,164500,161500,182359,011070
61,2020.08.05,163000,167500,167500,162000,253805,011070
62,2020.08.04,167000,167000,167000,163000,192571,011070
63,2020.08.03,165000,161000,165500,161000,210011,011070
64,2020.07.31,161000,165500,166500,161000,165939,011070
65,2020.07.30,162000,164000,165000,162000,114044,011070
66,2020.07.29,162000,162500,164500,160000,149108,011070
67,2020.07.28,163000,159500,165000,159500,292320,011070
68,2020.07.27,157000,156000,160000,156000,182513,011070
69,2020.07.24,156000,158500,160500,155000,287131,011070
70,2020.07.23,160500,167000,170000,159500,510467,011070
71,2020.07.22,164500,171500,171500,163000,326333,011070
72,2020.07.21,171000,162500,172000,161500,440261,011070
73,2020.07.20,161000,167000,167000,159500,234878,011070
74,2020.07.17,165000,164000,166000,163500,126754,011070
75,2020.07.16,163500,168500,171000,161500,246792,011070
76,2020.07.15,169000,174500,175000,168000,219888,011070
77,2020.07.14,174000,173000,175000,171500,131599,011070
78,2020.07.13,173500,179500,179500,172000,214564,011070
79,2020.07.10,177000,180500,181000,174500,126707,011070
80,2020.07.09,179500,174500,179500,173000,171069,011070
81,2020.07.08,173500,175500,179000,173500,185304,011070
82,2020.07.07,175500,180000,180000,175500,131564,011070
83,2020.07.06,178500,177000,178500,172500,137135,011070
84,2020.07.03,176000,172500,177500,172000,109482,011070
85,2020.07.02,173000,176500,177000,172000,100555,011070
86,2020.07.01,175000,176500,178500,173500,143766,011070
87,2020.06.30,174500,174500,179000,173500,333467,011070
88,2020.06.29,171500,168500,173000,166500,195007,011070
89,2020.06.26,171500,165500,171500,162500,296752,011070
90,2020.06.25,162500,165000,166500,162000,152419,011070
91,2020.06.24,168000,166000,169500,163000,214867,011070
92,2020.06.23,164000,164500,170000,162500,281113,011070
