,Link,Date,Headline,Content
0,https://www.investing.com/news/stock-market-news/tesla-must-face-lawsuit-claiming-racism-at-california-factory-2050555,2020-01-01,Tesla must face lawsuit claiming racism at California factory By Reuters,"By Jonathan Stempel
(Reuters) - A federal judge rejected Tesla  Inc s effort to dismiss claims by two former workers that the California electric car factory where they worked was a hotbed of racial hostility, clearing the way for a possible trial.
In a decision on Monday, U.S. District Judge William Orrick in San Francisco found open questions over whether Owen Diaz and his son Demetric Di-az faced ""severe and pervasive racial harassment"" in 2015 and 2016 at Tesla s factory in suburban Fremont, which employs more than 10,000 people.
The plaintiffs, who are black, said they were subjected to repeated racial epithets dozens of times, as well as racist cartoons, and that supervisors engaged in or did little to stop the racism.
Orrick said Diaz could pursue claims that Tesla allowed and did not take reasonable steps to stop racial harassment.
He said punitive damages might be available if Tesla must have known about the harassment and ""ratified"" it, even if only lower level workers were directly involved.
""The n-word is perhaps the most offensive and inflammatory racial slur in English, a word expressive of racial hatred and bigotry,"" Orrick wrote. ""This case will proceed to trial.""
A trial is scheduled for May 11, 2020.
Tesla and its lawyers did not immediately respond to requests for comment.
The Palo Alto, California-based company has faced multiple racial harassment lawsuits, but is not the only automaker to face such claims in recent years.
In 2017, Ford Motor  Co agreed to pay up to $10.1 million to settle a federal probe into alleged harassment at two Chicago plants.
Tesla has in court papers said it ""did not hesitate"" to address racial abuse at the Fremont factory, and there was no proof of ""oppression, malice, or fraud.""
Orrick also said Diaz could pursue claims against a staffing agency that assigned him to the factory, and a liaison between Tesla and that agency.
Lawrence Organ, the plaintiffs  lawyer, said his clients are seeking damages ""in the millions"" of dollars.
""Tesla is not sending a message that this kind of conduct in the workplace is not permitted,"" he said in an interview.
Owen Diaz said he worked at Tesla for 11 months as an elevator operator, while Demetric Di-az spent two months as a production associate.
Allegations included a claim that Diaz s supervisor admitted to drawing a cartoon of ""a black face person with a bone in his hair"" and captioned ""booo,"" supposedly short for ""jigaboo.""
""You people can t take a joke,"" Diaz said the supervisor told him.

The case is Di-az et al v Tesla Inc et al, U.S. District Court, Northern District of California, No. 17-06748."
1,https://www.investing.com/news/stock-market-news/us-auto-safety-agency-to-probe-fatal-tesla-crash-in-los-angeles-2050658,2020-01-01,U.S. auto safety agency to investigate fatal Tesla crash in California By Reuters,"By David Shepardson
WASHINGTON (Reuters) - The fatal Dec. 29 crash of a Tesla  Inc vehicle in Southern  California will be investigated by the U.S. government s auto safety regulator, the agency said on Tuesday.
The U.S. National Highway Traffic Safety Administration (NHTSA) said earlier this month it had opened an investigation into a 12th Tesla crash that may be tied to the vehicle’s advanced Autopilot driver assistance system after a Tesla Model 3 rear-ended a parked police car in Connecticut.
NHTSA did not say if autopilot was suspected in Sunday s crash in Gardena in Los Angeles county.
Tesla did not immediately respond to a request for comment. 
Los Angeles television station KTLA reported the driver exited the 91 Freeway in Gardena, ran a red light and struck a 2006 Honda Civic, killing its two occupants.
The two people inside the Tesla were hospitalized but did not have life-threatening injuries, KTLA reported, citing Los Angeles police.
Autopilot had been engaged in at least three Tesla vehicles that were involved in fatal U.S. crashes since 2016. The National Transportation Safety Board has criticized Autopilot s lack of safeguards and said in September in its probe of a 2018 Culver City, California Tesla crash that the system’s design ""permitted the driver to disengage from the driving task.""
Tesla and NHTSA both advise drivers that they must keep their hands on the steering wheel and pay attention at all times while using Autopilot. Tesla says Autopilot ""enables your car to steer, accelerate and brake automatically within its lane,"" but does not make the vehicle autonomous.
Some drivers say they are able to keep their hands off the wheel for extended periods when using the system. Last month, U.S. Senator Ed Markey said Tesla should disable Autopilot until it installs new safeguards to prevent drivers from evading system limits that could let them fall asleep.

NHTSA has previously confirmed special crash investigations in a number of Tesla crashes but until earlier this month had not disclosed the total number of crashes under review. NHTSA previously investigated another Tesla crash that it initially suspected of being tied to Autopilot but ruled it out."
2,https://www.investing.com/news/stock-market-news/tesla-says-will-deliver-second-batch-of-chinamade-model-3s-on-january-7-2050931,2020-01-02,Tesla says will start delivering China-made Model 3s to public on Jan. 7 By Reuters,"SHANGHAI (Reuters) - Tesla  Inc will deliver its first China-made Model 3 sedans to the public on Jan. 7 at an event at its Shanghai plant, a representative for the firm told Reuters on Thursday.
The Shanghai plant is part of the Silicon Valley automaker s plans to bolster its presence in the world s biggest auto market and minimize the impact of the U.S.-China trade war. 
Fifteen Tesla employees who had purchased the car were the first to take delivery on Monday after the first China-made vehicles rolled off the plant s production line in October.
The deliveries come a year after construction of Tesla s only plant outside the United States began. Production started in October with a target of 250,000 vehicles per year once the Model Y is added to the line up.
""As Model 3s roll off Tesla s Chinese manufacturing facility with local subsidies intact, we believe the U.S.-based focus will need to shift globally for the company,"" Canaccord Genuity analyst Jed Dorsheimer wrote in a note to clients.
China will be an important market for the company in 2020, said Dorsheimer, who raised his price target on Tesla to $515, the second-highest on Wall Street. 
The Model 3 is priced at 355,800 yuan ($50,000) before subsidies. Tesla said previously that it wanted to start deliveries before the Chinese new year beginning Jan. 25.
Tesla s China general manager, Wang Hao, said the company plans to ramp up Model 3 deliveries in January. 
Tesla executives also told reporters the plant had achieved a production target of 1,000 units per week, or around 280 cars a day, and that sales for the China-made sedan had so far been ""very good"".
Hao had said the company will double the number of service centers and fast charging stations in China in 2020.
Shares of Tesla, which is expected to report its fourth-quarter delivery numbers in the next few days, rose 1.1% to $422.88 in premarket trading. 

The stock, which touched a record high of $435.31 last week, has had a strong run in recent months on the back of posting a rare profit in the latest quarter and news of China ramp up."
3,https://www.investing.com/news/stock-market-news/stocks-tesla-pge-airbus-all-rise-in-premarket-2051158,2020-01-02,"Stocks: Tesla, PG&E, Airbus All Rise in Premarket By Investing.com","Investing.com -- Stocks in focus in premarket trade on Thursday, 2nd January.





"
4,https://www.investing.com/news/stock-market-news/correct-tesla-gains-as-canaccord-lifts-target-on-ev-growth-2051166,2020-01-02,Tesla Gains as Canaccord Lifts Target on EV Growth By Bloomberg,"
(Bloomberg) -- Tesla Inc. s  price target was raised by more than $100 at Canaccord Genuity, which wrote that the trend toward electric vehicles “will only accelerate in 2020.”
The target was raised to $515 from $375, one of the highest on Wall Street and near the Street-high view of $530. The average price target is about $302, according to Bloomberg data.
The move comes ahead of Tesla reporting fourth-quarter delivery numbers next week. Canaccord analyst Jed Dorsheimer, who reiterated a buy rating on the stock, expects the data will validate the trend of higher electric-vehicle adoption.
“While bears have feared demand issues as a function of tax credit expiration for Tesla, we suspect a solid Q4 combined with the robust Q3 should put these fears to rest,” he wrote to clients. He expects Tesla will report nearly 369,000 units delivered over 2019, above the company’s own guidance of 360,000.
Shares of Tesla rose 1.7% in pre-market trading. The stock gained about 26% over the course of 2019 and recently surged to record levels.
Canaccord was not the only firm to start the new year by expressing optimism about Tesla’s 2020 delivery prospects. JMP Securities wrote that “unit consensus expectations for this year are oddly low.” Analyst Joseph Osha speculated that the consensus didn’t reflect a contribution from Tesla’s Shanghai facility."
5,https://www.investing.com/news/stock-market-news/tesla-cuts-starting-price-for-chinamade-model-3-vehicles-2051633,2020-01-03,Tesla cuts price for China-made Model 3 vehicles before delivery By Reuters,"SHANGHAI (Reuters) - U.S. electric vehicle maker Tesla Inc  cut the starting price for its China-made Model 3 sedans by 16% to 299,050 yuan ($42,919) after receiving Chinese subsidies for electric vehicles, according to its China website.
The reduction, partly thanks to 24,750 yuan of subsidies, from an earlier 355,800 yuan is among a slew of adjustments Tesla has made to its sales policy in China, including tweaking prices for car accessories and home charging facilities.
Tesla has said it plans to start delivering cars, made at its $2 billion factory in Shanghai, to the public on Jan. 7. 
Fifteen Tesla employees who had purchased the car were the first to take delivery on Monday after the first China-made vehicles rolled off the plant s production line in October. 
The deliveries come a year after construction of Tesla s only plant outside the United States began. 
Earlier this week, Tesla said that 30% of its China supply chain was localized, which means some car parts are shipped in to build its cars. The automaker wants to completely localize its China supply chain by end-2020, it said at the time. 
Tesla plans to ramp up Model 3 deliveries in January and will double the number of service centers and fast charging stations in China in 2020, its executives have said.
The plant has achieved a production target of 1,000 units per week, or around 280 cars a day, and that sales for the China-made sedan had so far been ""very good"", according to the executives.
"
6,https://www.investing.com/news/stock-market-news/after-teslas-record-year-in-norway-rivals-gear-up-for-2020-2051710,2020-01-03,"After Tesla's record year in Norway, rivals gear up for 2020 By Reuters","By Victoria Klesty and Lefteris Karagiannopoulos
OSLO (Reuters) - New electric car sales in Norway rose by a third last year amid soaring demand for Tesla Inc s  vehicles, but the pioneering U.S. company will face a more competitive market in 2020 as rivals prepare to launch new electric models.
Fully electric cars made up 42.4% of sales in the Nordic country last year, a global record, rising from a 31.2% market share in 2018 and just 5.5% in 2013, the Norwegian Road Federation said on Friday.
Norway, which is Europe s biggest oil and gas producer, is seeking to become the first country to end the sale of fossil-fueled cars by 2025. The country has exempted battery-powered vehicles from the taxes imposed on petrol and diesel engines and after just a few years the streets of Oslo have become quieter and have less air pollution.
Most of Norway s top-10 cars in 2019 were electric, including Volkswagen s Golf (DE:VOWG_p), Nissan s (T:7201) Leaf, Audi s  e-tron, BMW s  i3, Jaguar s I-PACE and several of Hyundai s (KS:005380) models.
New car sales in the country last year were 142,381, of which 60,316 were fully electric. This year, as many as six in 10 of all new cars sold in the country could be fully electric, said Volkswagen (VW) distributor Harald A. Moeller AS, which is preparing to launch several models in 2020.
Other importers predicted the market share in 2020 would be in a range of 50-60% of all sales.
""The electrification of the car market is accelerating ... we forecast electric vehicles to hold a 100% market share in 2025,"" Volkswagen said of the outlook for Norway.
The country s best-selling car in 2019 was Tesla s mid-sized Model 3 sedan, which retails from 384,900 Norwegian crowns ($43,721.74), racking up an 11% market share in the California-based firm s first attempt at cracking the mass market.
Rising global awareness of climate change has encouraged a shift in regulation, technology and consumer preferences, disrupting the auto industry and boosting Tesla s share price to make it one of the world s most highly valued car brands.
This year, the company will start producing a medium-sized sport utility vehicle, the Model Y, but faces competition from a plethora of rivals, including by Daimler AG s Mercedes-Benz, VW s Audi and  Ford Motor Co  .
""There will be between 20 and 30 new electric models on the market in 2020, many of them launching early in the year,"" the Norwegian Electric Vehicle Association said in a statement.
Ford late last year unveiled the Mustang Mach-E SUV, which it hopes will help turn around its flagging fortunes.
""It will compete with Tesla s models 3 and Y. I also think Audi e-tron is a big competitor. The customers have waited for this car for over two years,"" said Kjetil Hagestande, chief executive of Ford importer RoehneSelmer.
""This amazing car with four-wheel drive and long range fits the Norway market perfectly,"" Hagestande told Reuters on the sidelines of the Mach-E launch in November.
Also aiming for a slice of Norway s market is China s Geely [GEELY.UL] group, whose Polestar and Volvo brands will begin producing fully electric cars this year.
In October, Polestar opened its first European showroom in Oslo s most upmarket shopping district, rubbing shoulders with fashion designers rather than with rival auto makers.
""I m here to consider a new car because my wife already has her second electric car, a Hyundai,"" said Espen Cook, a retired IT worker, on a recent visit to the Polestar venue.
""Two months ago I sold my hybrid Lexus so I would like to go full electric,"" the 70-year-old told Reuters. 

($1 = 8.8034 Norwegian crowns)"
7,https://www.investing.com/news/stock-market-news/stocks---tesla-bat-newmont-rise-in-premarket-incyte-falls-2051890,2020-01-03,"Stocks -  Tesla, BAT, Newmont Rise in Premarket; Incyte Falls By Investing.com","Investing.com -- Stocks in focus in premarket trade on Thursday, 3rd January.





"
8,https://www.investing.com/news/stock-market-news/tesla-meets-low-end-of-2019-goal-for-vehicle-deliveries-2051868,2020-01-03,"Musk defies skeptics, meets Tesla delivery goal; shares hit record By Reuters","By Munsif Vengattil and Tina Bellon
(Reuters) - Tesla Inc  beat Wall Street estimates for annual vehicle deliveries and met the low-end of its own target, sending shares to a record high in a vindication for Chief Executive Elon Musk after a few turbulent years. 
Boosted by demand for its mass-produced Model 3 sedans as overseas sales pick up, Tesla on Friday said it delivered 112,000 vehicles in the fourth quarter, including 92,550 Model 3s and 19,450 Model S/X SUVs, which was above expectations of 104,960 vehicles, according to IBES data from Refinitiv.
The Silicon Valley carmaker delivered approximately 367,500 vehicles during all of 2019, just meeting the low end of its target to deliver 360,000 to 400,000 vehicles in 2019.
Tesla shares were up as much as 5.5% at $454, touching a record high. 
The stock has had a strong run in recent months after posting a rare profit in the latest quarter and news of China ramp up. With a market valuation of more than $80 billion, Tesla is far outstripping those of traditional carmakers General Motors Co  and  Ford Motor Co  .
(Graphic: Tesla 2019 share movement click, https://fingfx.thomsonreuters.com/gfx/buzzifr/15/3945/3945/tesla.png) 
The delivery results defy skeptics of Musk, whose mercurial behavior over the last two years came under close scrutiny from federal regulators and shareholders of Tesla.
Musk, who has more than 30 million Twitter followers, has a history of firing off tweets that resulted in an investigation by the U.S. Securities and Exchange Commission and a defamation trial against him.
The Tesla CEO settled the SEC complaint for $20 million in 2018 and a Los Angeles jury cleared Musk in the defamation case in December. 
""Elon has Tesla executing right on track,"" said Roth Capital Partners analyst Craig Irwin. 
CHINA RAMP-UP
Tesla also provided an update on its Shanghai factory, which has started churning out Model 3 cars. It said the plant demonstrated a production run-rate capability of more than 3,000 units per week. 
The run-rate shows that the factory appears to be ramping faster than expected, Baird Equity Research analyst Ben Kallo said. ""Shanghai deliveries should be the next catalyst to drive volume growth.""
The $2-billion factory, Tesla s first car manufacturing site outside the United States, is the centerpiece of its ambitions to boost sales in the world s biggest auto market and avoid higher import tariffs imposed on U.S.-made cars.
A company representative on Thursday said that Tesla will deliver its first China-made Model 3 sedans to the public on Jan. 7. 
The Model 3 is Tesla s most affordable car, with lower-range versions available starting at $35,000.
Analysts in the past have questioned how rapidly Tesla s vehicle sales will grow as government subsidies for electric vehicle purchases dwindle in the United States, China and other markets. Some analysts consider those subsidies the biggest driver for Tesla purchases.
Traditional automakers largely relying on fuel-powered vehicles on Friday reported a decline in fourth-quarter U.S. sales and saw their shares tumble as a widening conflict with Iran pushed oil prices more than $2 a barrel on Friday.
 Fiat  Chrysler Automobiles NV   on Friday said it saw a 2% fall in U.S. auto sales, while GM reported its fourth-quarter U.S. deliveries were down more than 6%.
""The recently escalating geopolitical uncertainties driving oil prices higher are likely to create a tailwind for TSLA shares,"" Canaccord Genuity analyst Jed Dorsheimer said. 
"
9,https://www.investing.com/news/stock-market-news/tesla-rally-leaves-short-sellers-down-3-billion-since-2018-2052132,2020-01-03,Tesla rally leaves short sellers down $3 billion since 2018 By Reuters,"SAN FRANCISCO (Reuters) - Tesla Inc s  short sellers have suffered $3 billion in losses since the end of 2018, including a $500 million hit on Friday after the electric carmaker s quarterly deliveries beat investors  expectations and drove its stock to a record high.
Traders shorting Tesla have lost about $900 million in just the first two trading days of 2020, adding to mark-to-market losses of $2.9 billion last year, according to S3 Partners, a financial analytics firm.
Tesla said on Friday it delivered 112,000 vehicles in the fourth quarter, beating expectations of 104,960 vehicles, according to IBES data from Refinitiv. It delivered approximately 367,500 vehicles during all of 2019, just meeting the low end of its target to deliver 360,000 to 400,000 vehicles.
That report pushed Tesla s stock up 3.7% to $446.21, bringing its gain in the past three months to about 90% in a rally fueled by a surprise third quarter profit and signs of progress ramping up production at the company s new factory in China.
Tesla on Friday said it demonstrated a production run-rate capability of more than 3,000 units per week at the Shanghai factory.
Overall short interest in Tesla is about $11.9 billion, and while some traders have cut their losses in recent months, Friday s rally did not appear to be forcing significantly more traders to capitulate, said Ihor Dusaniwsky, managing director of Predictive Analytics at S3 Partners.
About 21% of Tesla s shares are currently sold short, down from about 28% in October, according to S3 Partners.
Chief Executive Elon Musk s progress has defied skeptics expecting Tesla to be overtaken by more established car companies, including General Motors Co ,  Ford Motor Co   and BMW .
""We think questions remain about first half 2020 results and gross margin sustainability; we point out that Tesla is already lowering prices in China and faces a flood of (electric vehicle) competition in the U.S., with at least 25 new models debuting this year,"" CFRA analyst Garrett Nelson wrote in a client note on Friday. Nelson upped his price target for Tesla by $80 to $400 and maintained his ""hold"" opinion.
Worries about demand for Telsa s Model 3 sedan sent the company s stock down to 2016 lows last June, but since then the shares have surged 150%."
