id;stock;news_dt;check_day;open;close;high;low;volume;change;sentiment_summary_avg;sentiment_summary_med;sentiment_title_avg;sentiment_title_med
A_2020-09-03;A;2020-09-03 19:30:00;2020-09-03;0;0;0;0;0;UNCHECKED;0.6369;0.6369;0.0;0.0
A_2020-09-01;A;2020-09-01 12:00:00;2020-09-01;0;0;0;0;0;UNCHECKED;0.5999;0.5999;0.3182;0.3182
A_2020-08-31;A;2020-08-31 16:57:00;2020-08-31;0;0;0;0;0;UNCHECKED;0.2023;0.2023;0.2263;0.2263
A_2020-08-27;A;2020-08-27 12:00:00;2020-08-27;0;0;0;0;0;UNCHECKED;0.872;0.872;0.34;0.34
A_2020-08-19;A;2020-08-19 14:18:40;2020-08-19;0;0;0;0;0;UNCHECKED;0.5762;0.6569;-0.038275;0.0
A_2020-08-18;A;2020-08-18 21:25:09;2020-08-19;0;0;0;0;0;UNCHECKED;0.10622000000000002;0.128;0.05059999999999999;0.0
A_2020-08-17;A;2020-08-17 19:55:29;2020-08-17;0;0;0;0;0;UNCHECKED;0.21075;0.21075;0.0;0.0
A_2020-08-15;A;2020-08-15 01:16:00;2020-08-17;0;0;0;0;0;UNCHECKED;0.2023;0.2023;0.0;0.0
A_2020-08-13;A;2020-08-13 17:16:05;2020-08-13;0;0;0;0;0;UNCHECKED;0.0;0.0;0.0;0.0
A_2020-08-12;A;2020-08-12 13:35:01;2020-08-12;0;0;0;0;0;UNCHECKED;0.12076666666666667;0.4588;0.19583333333333333;0.2263
P_2019-12-10;P;2019-12-10 21:13:08;2019-12-11;0;0;0;0;0;UNCHECKED;0.3182;0.3182;0.296;0.296
P_2019-11-22;P;2019-11-22 13:32:13;2019-11-22;0;0;0;0;0;UNCHECKED;0.3612;0.3612;0.0;0.0
L_2020-08-11;L;2020-08-11 23:36:08;2020-08-12;0;0;0;0;0;UNCHECKED;0.0;0.0;0.296;0.296
L_2020-08-07;L;2020-08-07 20:31:07;2020-08-10;0;0;0;0;0;UNCHECKED;0.0;0.0;0.0;0.0
L_2020-08-04;L;2020-08-04 15:54:00;2020-08-04;0;0;0;0;0;UNCHECKED;0.47785;0.47785;0.0;0.0
L_2020-08-03;L;2020-08-03 16:49:33;2020-08-03;0;0;0;0;0;UNCHECKED;0.14876666666666669;0.4939;-0.10606666666666666;0.0
L_2020-07-29;L;2020-07-29 15:00:56;2020-07-29;0;0;0;0;0;UNCHECKED;0.4019;0.4019;0.0;0.0
L_2020-07-16;L;2020-07-16 23:30:31;2020-07-17;0;0;0;0;0;UNCHECKED;0.0;0.0;0.10115;0.10115
L_2020-06-19;L;2020-06-19 18:40:15;2020-06-19;0;0;0;0;0;UNCHECKED;-0.1027;-0.1027;0.0;0.0
L_2020-06-18;L;2020-06-18 08:28:23;2020-06-18;0;0;0;0;0;UNCHECKED;0.0;0.0;0.0;0.0
L_2020-06-04;L;2020-06-04 14:36:19;2020-06-04;0;0;0;0;0;UNCHECKED;0.7906;0.7906;0.0;0.0
L_2020-05-06;L;2020-05-06 14:25:07;2020-05-06;0;0;0;0;0;UNCHECKED;-0.3728;-0.3728;0.0;0.0
L_2020-05-05;L;2020-05-05 02:30:55;2020-05-05;0;0;0;0;0;UNCHECKED;0.9485;0.9485;0.0;0.0
L_2020-05-04;L;2020-05-04 10:00:00;2020-05-04;0;0;0;0;0;UNCHECKED;0.2732;0.2732;-0.3182;-0.3182
L_2020-04-28;L;2020-04-28 14:00:00;2020-04-28;0;0;0;0;0;UNCHECKED;0.0;0.0;0.0;0.0
L_2020-04-27;L;2020-04-27 20:42:07;2020-04-28;0;0;0;0;0;UNCHECKED;0.5859;0.5859;0.5859;0.5859
