guid;stock;title;summary;published;p_date;sentiment_summary;sentiment_title
7221372b-72ba-3eb2-b7ef-d81fec5f45e7;A;Agilent Announces Webcast for Investment Community;Agilent to participate in Wells Fargo virtual health care event Wednesday, Sept. 9.;Thu, 03 Sep 2020 19:30:00 +0000;A_2020-09-03;0.6369;0.0
7d11335f-fdc2-3198-8886-78fbd049d987;A;Agilent Announces SureSelect XT HS2 RNA Reagent Kit, a Library Prep and Target Enrichment Solution for RNA-Seq;Agilent Technologies Inc. (NYSE: A) today announced the release of the SureSelect XT HS2 RNA Reagent Kit. This solution features a modular design that enables a simple and parallel approach for both RNA and DNA samples, allowing customers to streamline and consolidate their workflow without losing time optimizing different kits for different sample types. It marks the latest development in Agilent’s ongoing effort to improve NGS applications and workflows, leveraging the performance and versatility of XT HS2 chemistry.;Tue, 01 Sep 2020 12:00:00 +0000;A_2020-09-01;0.5999;0.3182
fba24ccb-ad91-3025-880d-07be5a63b803;A;Why Agilent Technologies (A) Stock is a Compelling Investment Case;"Pershing Square Capital Management recently released its Q2 2020 Investor Letter, a copy of which you can download here. The fund posted a return of 28.9% during the first half of 2020, outperforming its benchmark, the S&amp;P 500 Index which returned -3.1% in the same period. You should check out Pershing Square's top 5 stock […]";Mon, 31 Aug 2020 16:57:00 +0000;A_2020-08-31;0.2023;0.2263
49cec8f9-4278-3f7f-9141-56f113d73a95;A;Agilent Sets the Standard in Customer Flexibility with Analytical Technology Subscription Model;Agilent Technologies Inc. (NYSE: A) today announced its first-ever instrument subscription program, designed to meet the needs of customers with dynamic businesses who want the latest technology backed by the industry’s best service and support.;Thu, 27 Aug 2020 12:00:00 +0000;A_2020-08-27;0.872;0.34
89e885e4-fc88-344c-a0a3-f0186c1df6ba;A;P/E Ratio Insights for Agilent Technologies;"In the current session, Agilent Technologies Inc. (NYSE: A) is trading at $98.94, after a 1.13% increase. Over the past month, the stock increased by 2.82%, and in the past year, by 38.10%. With performance like this, long-term shareholders optimistic but others are more likely to look into the price-to-earnings ratio to see if the stock might be overvalued.Assuming that all other factors are held constant, this could present itself as an opportunity for shareholders trying to capitalize on the higher share price. The stock is currently below from its 52 week high by 0.43%.The P/E ratio measures the current share price to the company's EPS. It is used by long-term investors to analyze the company's current performance against its past earnings, historical data and aggregate market data for the industry or the indices, such as S&amp;P 500. A higher P/E indicates that investors expect the company to perform better in the future, and the stock is probably overvalued, but not necessarily. It also shows that investors are willing to pay a higher share price currently, because they expect the company to perform better in the upcoming quarters. This leads investors to also remain optimistic about rising dividends in the future.View more earnings on ADepending on the particular phase of a business cycle, some industries will perform better than others.Compared to the aggregate P/E ratio of the 84.08 in the Diagnostics & Research industry, Agilent Technologies Inc. has a lower P/E ratio of 44.68. Shareholders might be inclined to think that they might perform worse than its industry peers. It's also possible that the stock is undervalued.Price to earnings ratio is not always a great indicator of the company's performance. Depending on the earnings makeup of a company, investors may not be able to attain key insights from trailing earnings.See more from Benzinga  * Agilent's Debt Overview  * Earnings Scheduled For August 18, 2020  * Stocks That Hit 52-Week Highs On Monday(C) 2020 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.";Wed, 19 Aug 2020 14:18:40 +0000;A_2020-08-19;0.932;0.0
f125a458-1860-35d2-9491-127a66e32e45;A;Agilent's (A) Q3 Earnings Beat Estimates, Revenues Down Y/Y;Agilent Technologies' (A) fiscal third quarter results reflect growth in pharmaceutical and food market. However, COVID-19 headwinds were concerns.;Wed, 19 Aug 2020 13:55:01 +0000;A_2020-08-19;0.3818;0.0
258b9bfa-d87e-3562-b345-052492a5556a;A;"Agilent Falls In Pre-Market As Quarterly Sales Miss; Oppenheimer Says Hold";"Shares in Agilent Technologies (A) are down in pre-market trading after third-quarter sales missed analysts’ expectations and the company said it exited July with modest growth across all major markets.The stock is declining 2.1% to $95.80 in Wednesday’s pre-market session. Agilent’s (A) third-quarter sales fell 1% to $1.26 billion and is below the $1.21 billion estimated by analysts. On an adjusted basis and excluding items, Agilent reported earnings of $243 million or $0.78 per share for the three months ended July 31. Analysts had expected the company to earn $0.66 per share.Agilent, an equipment maker which serves the life sciences, diagnostics and applied chemical markets, said that although it sees a gradual improvement in lab access for its customers and increased non-COVID-19 testing volumes, it is still not at pre-COVID-19 levels.“Under challenging conditions created by the global COVID-19 pandemic, Agilent again delivered strong results,” said Agilent CEO Mike McMullen. “While the world’s economies are expected to recover at different rates in the fourth quarter, we remain focused on growth and investing for the future, while effectively managing expenses.”Separately, Agilent announced that it will invest $150 million to expand it Colorado production facility and add manufacturing lines to more than double the current capacity for manufacturing therapeutic oligos. Oligos, which are short DNA and RNA molecules used to create nucleic acid-based therapeutics, hold the potential to be used in developing treatments for cancer, COVID-19, cardiovascular disease, rare and infectious diseases, and other conditions.The expansion plans come as Agilent expects the supplier market for therapeutic oligos to exceed $750 million in 2025 with projected double-digit annual growth over the next five years.Agilent shares have recovered after hitting a low in March and are now up 15% on a year-to-date basis. (See Agilent stock analysis on TipRanks)Meanwhile, Needham analyst Stephen Unger maintained a Hold rating following the quarterly results, saying that at the price of $97.86, A shares are trading at 27.6x the EPS estimate of $3.54 for the 12-month period ending Aug. 2021, which is within his revised target trading range of 24.0-30.0x.“Given increased upside potential with the ongoing recovery from COVID-19, we consider the upper half of the range to be fair value (share price of $96.00-$106.00),” Unger wrote in a note to investors.Overall, Wall Street analysts are cautiously optimistic on the stock. The Moderate Buy consensus is split between 6 Hold and 5 Buys. Meanwhile, the $93.78 average analyst price target indicates downside potential of 4.2% over the coming 12 months.Related News: Walmart Delivers Earnings Triumph; E-Commerce Sales Double   Home Depot Sales Exceed Estimates As Shoppers Pile On DIY Products   Kohl’s Dips 17% As Covid-19 To Hit Back-to-School Sales More recent articles from Smarter Analyst:  * GFL Environment Rebukes Spruce Point’s Debt Claims; Shares Rise   * KBR To Buy Space Contractor Centauri For $800M; Shares Pop 6%   * Blackstone Set To Win Bid For Takeda’s Consumer Health Unit - Report   * Lowe’s Delivers Blowout Q2 As Online Sales Surge 135%";Wed, 19 Aug 2020 10:53:49 +0000;A_2020-08-19;0.991;-0.1531
cd857d57-cdfa-351a-8f19-1a3824b280b2;A;Agilent Technologies Inc (A) Q3 2020 Earnings Call Transcript;A earnings call for the period ending July 31, 2020.;Wed, 19 Aug 2020 05:00:36 +0000;A_2020-08-19;0.0;0.0
f88f6937-31aa-3c6e-8279-e26b24eeca54;A;Agilent Technologies (A) Beats Q3 Earnings and Revenue Estimates;Agilent (A) delivered earnings and revenue surprises of 18.18% and 3.90%, respectively, for the quarter ended July 2020. Do the numbers hold clues to what lies ahead for the stock?;Tue, 18 Aug 2020 21:25:09 +0000;A_2020-08-18;0.128;0.0
bf1dcea6-5cb0-3fe8-8a11-a78a0fd0e3a6;A;Agilent Technologies shares dip 2% on decline in revenue;"Agilent Technologies Inc.  shares were down 2% in after-hours trading Tuesday after the research, development, and manufacturing company reported fiscal third-quarter results that were roughly in line with Wall Street estimates for earnings but missed on revenue. Agilent reported net income of $199 million, or 64 cents a share, compared with net income of $191 million, or 61 cents a share, in the year-ago quarter. Revenue declined 1% to $1.26 billion from $1.27 billion a year ago. Analysts surveyed by FactSet had expected earnings of 66 cents a share on revenue of $1.21 billion. Agilent shares are up about 15% this year. The broader S&amp;P 500 index  has improved nearly 5% in 2020.";Tue, 18 Aug 2020 20:14:00 +0000;A_2020-08-18;0.9209;0.296
